time,open,high,low,close
2024-03-12T14:30:00+05:30,1.27858,1.28079,1.27443,1.27715
2024-03-12T18:30:00+05:30,1.27715,1.27891,1.27459,1.27784
2024-03-12T22:30:00+05:30,1.27784,1.27949,1.27705,1.27926
2024-03-13T02:30:00+05:30,1.27926,1.2798,1.27819,1.2794
2024-03-13T06:30:00+05:30,1.2794,1.27989,1.27895,1.27904
2024-03-13T10:30:00+05:30,1.27904,1.28006,1.27755,1.27927
2024-03-13T14:30:00+05:30,1.27927,1.28088,1.27745,1.28001
2024-03-13T18:30:00+05:30,1.28001,1.28059,1.27865,1.27971
2024-03-13T22:30:00+05:30,1.27971,1.28112,1.27902,1.27967
2024-03-14T02:30:00+05:30,1.27967,1.28045,1.27916,1.27998
2024-03-14T06:30:00+05:30,1.27998,1.28044,1.27866,1.27914
2024-03-14T10:30:00+05:30,1.27914,1.28166,1.27882,1.28071
2024-03-14T14:30:00+05:30,1.28071,1.2823,1.27768,1.27949
2024-03-14T18:30:00+05:30,1.27949,1.27966,1.27305,1.27482
2024-03-14T22:30:00+05:30,1.27482,1.27578,1.27427,1.27529
2024-03-15T02:30:00+05:30,1.27529,1.2755,1.2734,1.27362
2024-03-15T06:30:00+05:30,1.27362,1.27419,1.27299,1.27387
2024-03-15T10:30:00+05:30,1.27387,1.27452,1.27329,1.2738099999999999
2024-03-15T14:30:00+05:30,1.2738099999999999,1.27588,1.2736399999999999,1.27481
2024-03-15T18:30:00+05:30,1.27481,1.27574,1.27295,1.27302
2024-03-15T22:30:00+05:30,1.27302,1.27409,1.27204,1.27316
2024-03-18T02:30:00+05:30,1.2729,1.27377,1.27252,1.2731
2024-03-18T06:30:00+05:30,1.2731,1.2738,1.2726,1.27312
2024-03-18T10:30:00+05:30,1.27312,1.27467,1.27287,1.2745
2024-03-18T14:30:00+05:30,1.2745,1.27467,1.27274,1.27355
2024-03-18T18:30:00+05:30,1.27355,1.2738,1.2719,1.27261
2024-03-18T22:30:00+05:30,1.27261,1.27317,1.27178,1.27282
2024-03-19T02:30:00+05:30,1.27282,1.27312,1.27191,1.27199
2024-03-19T06:30:00+05:30,1.27199,1.27287,1.27126,1.27176
2024-03-19T10:30:00+05:30,1.27176,1.27188,1.26838,1.26894
2024-03-19T14:30:00+05:30,1.26894,1.27085,1.2667599999999999,1.26991
2024-03-19T18:30:00+05:30,1.26991,1.27261,1.26938,1.27253
2024-03-19T22:30:00+05:30,1.27253,1.27329,1.27186,1.27213
2024-03-20T02:30:00+05:30,1.27213,1.27226,1.27104,1.27169
2024-03-20T06:30:00+05:30,1.27169,1.27248,1.27138,1.2719
2024-03-20T10:30:00+05:30,1.2719,1.27298,1.26958,1.27033
2024-03-20T14:30:00+05:30,1.27033,1.27044,1.26843,1.26938
2024-03-20T18:30:00+05:30,1.26938,1.27193,1.26862,1.2718
2024-03-20T22:30:00+05:30,1.2718,1.2787,1.27098,1.2785199999999999
2024-03-21T02:30:00+05:30,1.2785199999999999,1.2798,1.27826,1.27944
2024-03-21T06:30:00+05:30,1.27944,1.28026,1.27893,1.27896
2024-03-21T10:30:00+05:30,1.27896,1.28032,1.27621,1.27653
2024-03-21T14:30:00+05:30,1.27653,1.27848,1.27252,1.27354
2024-03-21T18:30:00+05:30,1.27354,1.27362,1.26585,1.26646
2024-03-21T22:30:00+05:30,1.26646,1.26705,1.26504,1.26578
2024-03-22T02:30:00+05:30,1.26578,1.26748,1.26485,1.26731
2024-03-22T06:30:00+05:30,1.26731,1.2675,1.26343,1.26418
2024-03-22T10:30:00+05:30,1.26418,1.26453,1.25846,1.25975
2024-03-22T14:30:00+05:30,1.25975,1.26209,1.25751,1.26197
2024-03-22T18:30:00+05:30,1.26197,1.2624,1.25935,1.25946
2024-03-22T22:30:00+05:30,1.25946,1.26007,1.25854,1.25998
2024-03-25T02:30:00+05:30,1.25871,1.26017,1.2587,1.25947
2024-03-25T06:30:00+05:30,1.25947,1.2617099999999999,1.25947,1.26055
2024-03-25T10:30:00+05:30,1.26055,1.26168,1.25951,1.26082
2024-03-25T14:30:00+05:30,1.26082,1.26468,1.25997,1.26383
2024-03-25T18:30:00+05:30,1.26383,1.26525,1.26364,1.26388
2024-03-25T22:30:00+05:30,1.26388,1.2642,1.26351,1.26362
2024-03-26T02:30:00+05:30,1.26362,1.2643,1.26329,1.26421
2024-03-26T06:30:00+05:30,1.26421,1.26472,1.26361,1.26418
2024-03-26T10:30:00+05:30,1.26418,1.26589,1.26399,1.26492
2024-03-26T14:30:00+05:30,1.26492,1.26679,1.26378,1.26397
2024-03-26T18:30:00+05:30,1.26397,1.26492,1.26218,1.26295
2024-03-26T22:30:00+05:30,1.26295,1.26356,1.26228,1.26275
2024-03-27T02:30:00+05:30,1.26275,1.26306,1.2618,1.2621499999999999
2024-03-27T06:30:00+05:30,1.2621499999999999,1.26228,1.26086,1.26173
2024-03-27T10:30:00+05:30,1.26173,1.26319,1.26126,1.26218
2024-03-27T14:30:00+05:30,1.26218,1.26385,1.26078,1.26167
2024-03-27T18:30:00+05:30,1.26167,1.26332,1.26055,1.26309
2024-03-27T22:30:00+05:30,1.26309,1.2641,1.26244,1.26402
2024-03-28T02:30:00+05:30,1.26402,1.26402,1.26107,1.26258
2024-03-28T06:30:00+05:30,1.26258,1.26347,1.26205,1.26306
2024-03-28T10:30:00+05:30,1.26306,1.2637099999999999,1.26031,1.26063
2024-03-28T14:30:00+05:30,1.26063,1.26426,1.25856,1.26405
2024-03-28T18:30:00+05:30,1.26405,1.26546,1.26214,1.26343
2024-03-28T22:30:00+05:30,1.26343,1.26372,1.2615399999999999,1.26234
2024-03-29T02:30:00+05:30,1.26234,1.26286,1.26143,1.26255
2024-03-29T06:30:00+05:30,1.26255,1.26307,1.26158,1.26226
2024-03-29T10:30:00+05:30,1.26226,1.26264,1.26163,1.26258
2024-03-29T14:30:00+05:30,1.26258,1.26366,1.26095,1.26326
2024-03-29T18:30:00+05:30,1.26326,1.2645,1.26281,1.26283
2024-03-29T22:30:00+05:30,1.26283,1.26285,1.26145,1.26176
2024-04-01T02:30:00+05:30,1.26176,1.26419,1.26176,1.2635
2024-04-01T06:30:00+05:30,1.2635,1.2639,1.26255,1.26297
2024-04-01T10:30:00+05:30,1.26297,1.26314,1.26161,1.26221
2024-04-01T14:30:00+05:30,1.26221,1.26241,1.26027,1.26121
2024-04-01T18:30:00+05:30,1.26121,1.26134,1.25394,1.25452
2024-04-01T22:30:00+05:30,1.25452,1.25515,1.25419,1.2550999999999999
2024-04-02T02:30:00+05:30,1.2550999999999999,1.25616,1.25413,1.25469
2024-04-02T06:30:00+05:30,1.25469,1.25491,1.25401,1.25444
2024-04-02T10:30:00+05:30,1.25444,1.25647,1.25394,1.25617
2024-04-02T14:30:00+05:30,1.25617,1.25765,1.25542,1.25566
2024-04-02T18:30:00+05:30,1.25566,1.25776,1.25522,1.25715
2024-04-02T22:30:00+05:30,1.25715,1.25785,1.25662,1.25774
2024-04-03T02:30:00+05:30,1.25774,1.25813,1.25646,1.25726
2024-04-03T06:30:00+05:30,1.25726,1.25829,1.25669,1.25784
2024-04-03T10:30:00+05:30,1.25784,1.25826,1.25624,1.2577099999999999
2024-04-03T14:30:00+05:30,1.2577099999999999,1.25883,1.25671,1.25728
2024-04-03T18:30:00+05:30,1.25728,1.2651,1.25672,1.26458
2024-04-03T22:30:00+05:30,1.26458,1.26559,1.2639799999999999,1.26519
2024-04-04T02:30:00+05:30,1.26519,1.26562,1.26444,1.26524
2024-04-04T06:30:00+05:30,1.26524,1.26552,1.26466,1.26523
2024-04-04T10:30:00+05:30,1.26523,1.26696,1.26506,1.2663
2024-04-04T14:30:00+05:30,1.2663,1.26695,1.26477,1.26685
2024-04-04T18:30:00+05:30,1.26685,1.26835,1.2661499999999999,1.26656
2024-04-04T22:30:00+05:30,1.26656,1.26698,1.2635,1.26421
2024-04-05T02:30:00+05:30,1.26421,1.26485,1.26339,1.26469
2024-04-05T06:30:00+05:30,1.26469,1.26472,1.26211,1.26254
2024-04-05T10:30:00+05:30,1.26254,1.26403,1.26141,1.26368
2024-04-05T14:30:00+05:30,1.26368,1.2645,1.2583,1.25947
2024-04-05T18:30:00+05:30,1.25947,1.26355,1.25737,1.26346
2024-04-05T22:30:00+05:30,1.26346,1.26406,1.26312,1.26368
2024-04-08T02:30:00+05:30,1.26211,1.26342,1.26146,1.26162
2024-04-08T06:30:00+05:30,1.26162,1.2639799999999999,1.26158,1.26291
2024-04-08T10:30:00+05:30,1.26291,1.26347,1.26186,1.26218
2024-04-08T14:30:00+05:30,1.26218,1.26362,1.26134,1.26261
2024-04-08T18:30:00+05:30,1.26261,1.2656,1.26261,1.26483
2024-04-08T22:30:00+05:30,1.26483,1.26641,1.2647,1.26545
2024-04-09T02:30:00+05:30,1.26545,1.26596,1.26428,1.26539
2024-04-09T06:30:00+05:30,1.26539,1.26617,1.26523,1.26564
2024-04-09T10:30:00+05:30,1.26564,1.26643,1.26488,1.26604
2024-04-09T14:30:00+05:30,1.26604,1.27037,1.26567,1.26966
2024-04-09T18:30:00+05:30,1.26966,1.27094,1.26667,1.26696
2024-04-09T22:30:00+05:30,1.26696,1.26796,1.2663,1.26775
2024-04-10T02:30:00+05:30,1.26775,1.26776,1.26637,1.26751
2024-04-10T06:30:00+05:30,1.26751,1.26789,1.26689,1.26772
2024-04-10T10:30:00+05:30,1.26772,1.26945,1.26725,1.26943
2024-04-10T14:30:00+05:30,1.26943,1.2708,1.25949,1.26117
2024-04-10T18:30:00+05:30,1.26117,1.26122,1.252,1.25339
2024-04-10T22:30:00+05:30,1.25339,1.25539,1.25217,1.254
2024-04-11T02:30:00+05:30,1.254,1.25417,1.25299,1.25373
2024-04-11T06:30:00+05:30,1.25373,1.25495,1.2536,1.25471
2024-04-11T10:30:00+05:30,1.25471,1.25697,1.25325,1.25505
2024-04-11T14:30:00+05:30,1.25505,1.25723,1.25246,1.25669
2024-04-11T18:30:00+05:30,1.25669,1.25785,1.25108,1.25369
2024-04-11T22:30:00+05:30,1.25369,1.2564,1.25313,1.25531
2024-04-12T02:30:00+05:30,1.25531,1.2557,1.25436,1.25551
2024-04-12T06:30:00+05:30,1.25551,1.2558799999999999,1.25368,1.25376
2024-04-12T10:30:00+05:30,1.25376,1.25441,1.25055,1.25078
2024-04-12T14:30:00+05:30,1.25078,1.25115,1.2451,1.24543
2024-04-12T18:30:00+05:30,1.24543,1.24661,1.24267,1.24489
2024-04-12T22:30:00+05:30,1.24489,1.24621,1.2442199999999999,1.24445
2024-04-15T02:30:00+05:30,1.24445,1.24629,1.24305,1.24521
2024-04-15T06:30:00+05:30,1.24521,1.24649,1.24408,1.24603
2024-04-15T10:30:00+05:30,1.24603,1.24874,1.24579,1.24817
2024-04-15T14:30:00+05:30,1.24817,1.24986,1.24509,1.2479
2024-04-15T18:30:00+05:30,1.2479,1.24962,1.24449,1.24574
2024-04-15T22:30:00+05:30,1.24574,1.24624,1.24358,1.24459
2024-04-16T02:30:00+05:30,1.24459,1.24492,1.24342,1.24375
2024-04-16T06:30:00+05:30,1.24375,1.2439,1.24204,1.24328
2024-04-16T10:30:00+05:30,1.24328,1.24488,1.24085,1.24365
2024-04-16T14:30:00+05:30,1.24365,1.24719,1.24364,1.24603
2024-04-16T18:30:00+05:30,1.24603,1.24672,1.24272,1.24352
2024-04-16T22:30:00+05:30,1.24352,1.24509,1.24052,1.24261
2024-04-17T02:30:00+05:30,1.24261,1.24326,1.24193,1.24292
2024-04-17T06:30:00+05:30,1.24292,1.24398,1.24248,1.24292
2024-04-17T10:30:00+05:30,1.24292,1.24818,1.24169,1.24714
2024-04-17T14:30:00+05:30,1.24714,1.24767,1.24458,1.24505
2024-04-17T18:30:00+05:30,1.24505,1.24695,1.24241,1.24286
2024-04-17T22:30:00+05:30,1.24286,1.24652,1.24266,1.24537
2024-04-18T02:30:00+05:30,1.24537,1.24583,1.24447,1.24529
2024-04-18T06:30:00+05:30,1.24529,1.24713,1.24492,1.24704
2024-04-18T10:30:00+05:30,1.24704,1.24845,1.24623,1.24742
2024-04-18T14:30:00+05:30,1.24742,1.24819,1.2447,1.24587
2024-04-18T18:30:00+05:30,1.24587,1.2468299999999999,1.24364,1.24485
2024-04-18T22:30:00+05:30,1.24485,1.2449999999999999,1.24333,1.24362
2024-04-19T02:30:00+05:30,1.24362,1.24392,1.24262,1.24274
2024-04-19T06:30:00+05:30,1.24274,1.24297,1.23883,1.24196
2024-04-19T10:30:00+05:30,1.24196,1.24516,1.24032,1.24403
2024-04-19T14:30:00+05:30,1.24403,1.24636,1.24294,1.24486
2024-04-19T18:30:00+05:30,1.24486,1.24681,1.23725,1.2389999999999999
2024-04-19T22:30:00+05:30,1.2389999999999999,1.23933,1.23613,1.23654
2024-04-22T02:30:00+05:30,1.23654,1.23847,1.23653,1.23726
2024-04-22T06:30:00+05:30,1.23726,1.23921,1.23725,1.23862
2024-04-22T10:30:00+05:30,1.23862,1.2387299999999999,1.23506,1.23657
2024-04-22T14:30:00+05:30,1.23657,1.2367299999999999,1.23088,1.23112
2024-04-22T18:30:00+05:30,1.23112,1.23471,1.22992,1.23469
2024-04-22T22:30:00+05:30,1.23469,1.23616,1.23451,1.23493
2024-04-23T02:30:00+05:30,1.23493,1.23559,1.23411,1.23545
2024-04-23T06:30:00+05:30,1.23545,1.23588,1.23475,1.23514
2024-04-23T10:30:00+05:30,1.23514,1.23883,1.23316,1.23701
2024-04-23T14:30:00+05:30,1.23701,1.24064,1.23457,1.23913
2024-04-23T18:30:00+05:30,1.23913,1.24584,1.23809,1.24448
2024-04-23T22:30:00+05:30,1.24448,1.24584,1.24444,1.24486
2024-04-24T02:30:00+05:30,1.24486,1.24604,1.24402,1.24585
2024-04-24T06:30:00+05:30,1.24585,1.24648,1.24527,1.24549
2024-04-24T10:30:00+05:30,1.24549,1.24569,1.24224,1.24261
2024-04-24T14:30:00+05:30,1.24261,1.24477,1.2425,1.24417
2024-04-24T18:30:00+05:30,1.24417,1.24551,1.24264,1.24463
2024-04-24T22:30:00+05:30,1.24463,1.24699,1.2445599999999999,1.24635
2024-04-25T02:30:00+05:30,1.24635,1.24646,1.24501,1.24618
2024-04-25T06:30:00+05:30,1.24618,1.24686,1.24541,1.2467
2024-04-25T10:30:00+05:30,1.2467,1.2523,1.24664,1.2521
2024-04-25T14:30:00+05:30,1.2521,1.25256,1.2466599999999999,1.24781
